     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -73.10432     0.00000     0.00000     0.00000     0.00000
   -73.09332     0.00000     0.00000     0.00000     0.00000
   -73.08332     0.00000     0.00000     0.00000     0.00000
   -73.07232     0.00000     0.00000     0.00000     0.00000
   -73.06132     0.00000     0.00000     0.00000     0.00000
   -73.05132     0.00000     0.00000     0.00000     0.00000
   -73.04032     0.00000     0.00000     0.00000     0.00000
   -73.02932     0.00000     0.00000     0.00000     0.00000
   -73.01932     0.00000     0.00000     0.00000     0.00000
   -73.00832     0.00000     0.00000     0.00000     0.00000
   -72.99832     0.00000     0.00000     0.00000     0.00000
   -72.98732     0.00000     0.00000     0.00000     0.00000
   -72.97632     0.00000     0.00000     0.00000     0.00000
   -72.96632     0.00000     0.00000     0.00000     0.00000
   -72.95532     0.00000     0.00000     0.00000     0.00000
   -72.94432     0.00000     0.00000     0.00000     0.00000
   -72.93432     0.00000     0.00000     0.00000     0.00000
   -72.92332     0.00000     0.00000     0.00000     0.00000
   -72.91232     0.00000     0.00000     0.00000     0.00000
   -72.90232     0.00000     0.00000     0.00000     0.00000
   -72.89132     0.00000     0.00000     0.00000     0.00000
   -72.88032     0.00000     0.00000     0.00000     0.00000
   -72.87032     0.00000     0.00000     0.00000     0.00000
   -72.85932     0.00000     0.00000     0.00000     0.00000
   -72.84832     0.00000     0.00000     0.00000     0.00000
   -72.83832     0.00000     0.00000     0.00000     0.00000
   -72.82732     0.00000     0.00000     0.00000     0.00000
   -72.81632     0.00000     0.00000     0.00000     0.00000
   -72.80632     0.00000     0.00000     0.00000     0.00000
   -72.79532     0.00000     0.00000     0.00000     0.00000
   -72.78432     0.00000     0.00000     0.00000     0.00000
   -72.77432     0.00000     0.00000     0.00000     0.00000
   -72.76332     0.00000     0.00000     0.00000     0.00000
   -72.75232     0.00000     0.00000     0.00000     0.00000
   -72.74232     0.00000     0.00000     0.00000     0.00000
   -72.73132     0.00000     0.00000     0.00000     0.00000
   -72.72032     0.00000     0.00000     0.00000     0.00000
   -72.71032     0.00000     0.00000     0.00000     0.00000
   -72.69932     0.00000     0.00000     0.00000     0.00000
   -72.68832     0.00000     0.00000     0.00000     0.00000
   -72.67832     0.00000     0.00000     0.00000     0.00000
   -72.66732     0.00000     0.00000     0.00000     0.00000
   -72.65632     0.00000     0.00000     0.00000     0.00000
   -72.64632     0.00000     0.00000     0.00000     0.00000
   -72.63532     0.00000     0.00000     0.00000     0.00000
   -72.62432     0.00000     0.00000     0.00000     0.00000
   -72.61432     0.00000     0.00000     0.00000     0.00000
   -72.60332     0.00000     0.00000     0.00000     0.00000
   -72.59232     0.00000     0.00000     0.00000     0.00000
   -72.58232     0.00000     0.00000     0.00000     0.00000
   -72.57132     0.00000     0.00000     0.00000     0.00000
   -72.56032     0.00000     0.00000     0.00000     0.00000
   -72.55032     0.00000     0.00000     0.00000     0.00000
   -72.53932     0.00000     0.00000     0.00000     0.00000
   -72.52832     0.00000     0.00000     0.00000     0.00000
   -72.51832     0.00000     0.00000     0.00000     0.00000
   -72.50732     0.00000     0.00000     0.00000     0.00000
   -72.49632     0.00000     0.00000     0.00000     0.00000
   -72.48632     0.00000     0.00000     0.00000     0.00000
   -72.47532     0.00000     0.00000     0.00000     0.00000
   -72.46432     0.00000     0.00000     0.00000     0.00000
