     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -73.47473     0.00000     0.00000     0.00000     0.00000
   -73.46373     0.00000     0.00000     0.00000     0.00000
   -73.45373     0.00000     0.00000     0.00000     0.00000
   -73.44273     0.00000     0.00000     0.00000     0.00000
   -73.43173     0.00000     0.00000     0.00000     0.00000
   -73.42073     0.00000     0.00000     0.00000     0.00000
   -73.40973     0.00000     0.00000     0.00000     0.00000
   -73.39873     0.00000     0.00000     0.00000     0.00000
   -73.38873     0.00000     0.00000     0.00000     0.00000
   -73.37773     0.00000     0.00000     0.00000     0.00000
   -73.36673     0.00000     0.00000     0.00000     0.00000
   -73.35573     0.00000     0.00000     0.00000     0.00000
   -73.34473     0.00000     0.00000     0.00000     0.00000
   -73.33373     0.00000     0.00000     0.00000     0.00000
   -73.32373     0.00000     0.00000     0.00000     0.00000
   -73.31273     0.00000     0.00000     0.00000     0.00000
   -73.30173     0.00000     0.00000     0.00000     0.00000
   -73.29073     0.00000     0.00000     0.00000     0.00000
   -73.27973     0.00000     0.00000     0.00000     0.00000
   -73.26873     0.00000     0.00000     0.00000     0.00000
   -73.25873     0.00000     0.00000     0.00000     0.00000
   -73.24773     0.00000     0.00000     0.00000     0.00000
   -73.23673     0.00000     0.00000     0.00000     0.00000
   -73.22573     0.00000     0.00000     0.00000     0.00000
   -73.21473     0.00000     0.00000     0.00000     0.00000
   -73.20473     0.00000     0.00000     0.00000     0.00000
   -73.19373     0.00000     0.00000     0.00000     0.00000
   -73.18273     0.00000     0.00000     0.00000     0.00000
   -73.17173     0.00000     0.00000     0.00000     0.00000
   -73.16073     0.00000     0.00000     0.00000     0.00000
   -73.14973     0.00000     0.00000     0.00000     0.00000
   -73.13973     0.00000     0.00000     0.00000     0.00000
   -73.12873     0.00000     0.00000     0.00000     0.00000
   -73.11773     0.00000     0.00000     0.00000     0.00000
   -73.10673     0.00000     0.00000     0.00000     0.00000
   -73.09573     0.00000     0.00000     0.00000     0.00000
   -73.08473     0.00000     0.00000     0.00000     0.00000
   -73.07473     0.00000     0.00000     0.00000     0.00000
   -73.06373     0.00000     0.00000     0.00000     0.00000
   -73.05273     0.00000     0.00000     0.00000     0.00000
   -73.04173     0.00000     0.00000     0.00000     0.00000
   -73.03073     0.00000     0.00000     0.00000     0.00000
   -73.02073     0.00000     0.00000     0.00000     0.00000
   -73.00973     0.00000     0.00000     0.00000     0.00000
   -72.99873     0.00000     0.00000     0.00000     0.00000
   -72.98773     0.00000     0.00000     0.00000     0.00000
   -72.97673     0.00000     0.00000     0.00000     0.00000
   -72.96573     0.00000     0.00000     0.00000     0.00000
   -72.95573     0.00000     0.00000     0.00000     0.00000
   -72.94473     0.00000     0.00000     0.00000     0.00000
   -72.93373     0.00000     0.00000     0.00000     0.00000
   -72.92273     0.00000     0.00000     0.00000     0.00000
   -72.91173     0.00000     0.00000     0.00000     0.00000
   -72.90073     0.00000     0.00000     0.00000     0.00000
   -72.89073     0.00000     0.00000     0.00000     0.00000
   -72.87973     0.00000     0.00000     0.00000     0.00000
   -72.86873     0.00000     0.00000     0.00000     0.00000
   -72.85773     0.00000     0.00000     0.00000     0.00000
   -72.84673     0.00000     0.00000     0.00000     0.00000
   -72.83573     0.00000     0.00000     0.00000     0.00000
   -72.82573     0.00000     0.00000     0.00000     0.00000
   -72.81473     0.00000     0.00000     0.00000     0.00000
   -72.80373     0.00000     0.00000     0.00000     0.00000
   -72.79273     0.00000     0.00000     0.00000     0.00000
   -72.78173     0.00000     0.00000     0.00000     0.00000
   -72.77173     0.00000     0.00000     0.00000     0.00000
   -72.76073     0.00000     0.00000     0.00000     0.00000
   -72.74973     0.00000     0.00000     0.00000     0.00000
   -72.73873     0.00000     0.00000     0.00000     0.00000
   -72.72773     0.00000     0.00000     0.00000     0.00000
